date,title,link,abstract,paragraphs
21.04.2020,Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,"Barack Hussein Obama II ( (listen); born August 4, 1961) is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017.","['Barack Hussein Obama II ( (listen); born August 4, 1961) is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017.', 'A member of the Democratic Party, he was the first African-American president of the United States.', 'He previously served as a U.S. senator from Illinois from 2005 to 2008 and an Illinois state senator from 1997 to 2004.', 'Obama was born in Honolulu, Hawaii.', 'After graduating from Columbia University in 1983, he worked as a community organizer in Chicago.', 'In 1988, he enrolled in Harvard Law School, where he was the first black person to head the Harvard Law Review.', 'After graduating, he became a civil rights attorney and an academic, teaching constitutional law at the University of Chicago Law School from 1992 to 2004.', 'Turning to elective politics, he represented the 13th district from 1997 until 2004 in the Illinois Senate, when he ran for the U.S. Senate.', 'Obama received national attention in 2004 with his March Senate-primary win, his well-received July Democratic National Convention keynote address, and his landslide November election to the Senate.', 'In 2008, he was nominated for president a year after his presidential campaign began, and after close primary campaigns against Hillary Clinton.', 'Obama was elected over Republican John McCain and was inaugurated alongside Joe Biden on January 20, 2009.', 'Nine months later, he was named the 2009 Nobel Peace Prize laureate.', 'Obama signed many landmark bills into law during his first two years in office.', 'The main reforms that were passed include the Patient Protection and Affordable Care Act (commonly referred to as the ""Affordable Care Act"" or ""Obamacare""), the Dodd–Frank Wall Street Reform and Consumer Protection Act, and the Don\'t Ask, Don\'t Tell Repeal Act of 2010.', 'The American Recovery and Reinvestment Act of 2009 and Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010 served as economic stimulus amidst the Great Recession.', 'After a lengthy debate over the national debt limit, he signed the Budget Control and the American Taxpayer Relief Acts.', 'In foreign policy, he increased U.S. troop levels in Afghanistan, reduced nuclear weapons with the United States–Russia New START treaty, and ended military involvement in the Iraq War.', 'He ordered military involvement in Libya, contributing to the overthrow of Muammar Gaddafi.', 'He also ordered the military operations that resulted in the deaths of Osama bin Laden and suspected Yemeni Al-Qaeda operative Anwar al-Awlaki.', 'After winning re-election by defeating Republican opponent Mitt Romney, Obama was sworn in for a second term in 2013.', 'During this term, he promoted inclusion for LGBT Americans.', 'His administration filed briefs that urged the Supreme Court to strike down same-sex marriage bans as unconstitutional (United States v. Windsor and Obergefell v. Hodges); same-sex marriage was legalized nationwide in 2015 after the Court ruled so in Obergefell.', 'He advocated for gun control in response to the Sandy Hook Elementary School shooting, indicating support for a ban on assault weapons, and issued wide-ranging executive actions concerning global warming and immigration.', 'In foreign policy, he ordered military intervention in Iraq in response to gains made by ISIL after the 2011 withdrawal from Iraq, continued the process of ending U.S. combat operations in Afghanistan in 2016, promoted discussions that led to the 2015 Paris Agreement on global climate change, initiated sanctions against Russia following the invasion in Ukraine and again after Russian interference in the 2016 United States elections, brokered a nuclear deal with Iran, and normalized U.S. relations with Cuba.', 'Obama nominated three justices to the Supreme Court: Sonia Sotomayor and Elena Kagan were confirmed as justices, while Merrick Garland faced partisan obstruction and was not confirmed.', ""During his term in office, America's reputation abroad significantly improved.Obama's presidency has generally been regarded favorably, and evaluations of his presidency among historians, political scientists, and the general public place him among the upper tier of American presidents."", 'Obama left office in January 2017 but continues to reside in Washington, D.C.']"
21.04.2020,Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,"Joseph Robinette Biden Jr. (; born November 20, 1942) is an American politician who served as the 47th vice president of the United States from 2009 to 2017 and represented Delaware in the U.S. Senate from 1973 to 2009.","['Joseph Robinette Biden Jr. (; born November 20, 1942) is an American politician who served as the 47th vice president of the United States from 2009 to 2017 and represented Delaware in the U.S. Senate from 1973 to 2009.', 'A member of the Democratic Party, Biden is the presumptive Democratic nominee for president in the 2020 election.', 'He unsuccessfully sought the Democratic presidential nomination in 1988 and in 2008.', 'Biden was raised in Scranton, Pennsylvania, and New Castle County, Delaware.', 'He studied at the University of Delaware before receiving his law degree from Syracuse University.', 'He became a lawyer in 1969 and was elected to the New Castle County Council in 1970.', 'He was elected to the U.S. Senate from Delaware in 1972 when he became the sixth-youngest senator in American history.', 'Biden was reelected six times and was the fourth-most senior senator when he resigned to assume the vice presidency in 2009.', 'As a senator, Biden was a longtime member and eventually chairman of the Foreign Relations Committee.', 'He opposed the Gulf War in 1991 but advocated for U.S. and NATO intervention in the Bosnian War in 1994 and 1995, expanding NATO in the 1990s, and the 1999 bombing of Serbia during the Kosovo War.', 'He argued and voted for the resolution authorizing the Iraq War in 2002 but opposed the surge of U.S. troops in 2007.', 'He has also served as chairman of the Senate Judiciary Committee, dealing with issues related to drug policy, crime prevention, and civil liberties, as well as the contentious U.S. Supreme Court nominations of Robert Bork and Clarence Thomas.', 'Biden led the efforts to pass the Violent Crime Control and Law Enforcement Act and the Violence Against Women Act.', 'In 2008, Biden was the running mate of Democratic presidential nominee Barack Obama.', 'As vice president, he oversaw infrastructure spending to counteract the Great Recession and helped formulate U.S. policy toward Iraq through the withdrawal of U.S. troops in 2011.', ""His negotiations with congressional Republicans helped the Obama administration pass legislation including the Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010, which resolved a taxation deadlock; the Budget Control Act of 2011, which resolved that year's debt ceiling crisis; and the American Taxpayer Relief Act of 2012, which addressed the impending fiscal cliff."", 'Obama and Biden were reelected in 2012.', 'In October 2015, after months of speculation, Biden announced he would not seek the presidency in the 2016 election.', 'In January 2017, Obama awarded Biden the Presidential Medal of Freedom with distinction.', 'After completing his second term as vice president, Biden joined the faculty of the University of Pennsylvania, where he was named the Benjamin Franklin Professor of Presidential Practice.', 'He announced his 2020 candidacy for president on April 25, 2019, joining a large field of Democratic candidates pursuing the party nomination.', 'Despite poor showings in the first three state contests, Biden won the South Carolina primary decisively, and several center-left candidates dropped out of the race and endorsed him before Super Tuesday.', 'Biden went on to win 18 of the next 26 contests.', ""With the suspension of the campaign of Bernie Sanders on April 8, 2020, Biden became the Democratic Party's presumptive nominee for the presidential election.""]"
21.04.2020,George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush,"George Walker Bush (born July 6, 1946) is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009.","['George Walker Bush (born July 6, 1946) is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009.', 'A member of the Republican Party, he had previously served as the 46th governor of Texas from 1995 to 2000.', 'Born into the Bush family, his father, George H. W. Bush, served as the 41st president of the United States from 1989 to 1993.', 'Bush is the eldest son of Barbara and George H. W. Bush, and the second son to become the American president after his father, the first being John Quincy Adams.', 'After graduating from Yale University in 1968 and Harvard Business School in 1975, he worked in the oil industry.', 'Bush married Laura Welch in 1977 and unsuccessfully ran for the U.S. House of Representatives shortly thereafter.', 'He later co-owned the Texas Rangers baseball team before defeating Ann Richards in the 1994 Texas gubernatorial election.', 'Bush was elected president of the United States in 2000 when he defeated Democratic incumbent Vice President Al Gore after a narrow and contested win that involved a Supreme Court decision to stop a recount in Florida.', 'He became the fourth person to be elected president while receiving fewer popular votes than his opponent.', 'In response to the September 11 terrorist attacks, Bush launched a ""War on Terror"" that began with the war in Afghanistan in 2001.', 'He proceeded to also launch the Iraq War in 2003.', 'Signature legislation passed during his presidency included broad tax cuts, the Patriot Act, the No Child Left Behind Act, the Partial-Birth Abortion Ban Act, the Medicare Modernization Act, and funding for the AIDS relief program known as PEPFAR.', 'In the 2004 presidential race, Bush defeated Democratic Senator John Kerry in a close election.', 'After his re-election, Bush received criticism from across the political spectrum for his handling of the Iraq War, Hurricane Katrina, and other challenges.', 'Amid this criticism, the Democratic Party regained control of Congress in the 2006 elections.', 'In December 2007, the United States entered its longest post-World War II recession, often referred to as the ""Great Recession"", prompting the Bush administration to obtain congressional approval for multiple economic programs intended to preserve the country\'s financial system.', 'Bush was among the most popular, as well as unpopular, U.S. presidents in history; he received the highest recorded approval ratings in the wake of the 9/11 attacks, but one of the lowest such ratings during the 2008 financial crisis.', 'Bush finished his second term in office in 2009 and returned to Texas.', 'In 2010, he published his memoir, Decision Points.', 'His presidential library opened in 2013.', ""His presidency has been rated below average in historians' polls, although his favorability ratings have improved since leaving office.""]"
21.04.2020,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump,"Donald John Trump (born June 14, 1946) is the 45th and current president of the United States.","['Donald John Trump (born June 14, 1946) is the 45th and current president of the United States.', 'Before entering politics, he was a businessman and television personality.', ""Trump was born and raised in Queens, a borough of New York City, and received a bachelor's degree in economics from the Wharton School."", ""He took charge of his family's real-estate business in 1971, renamed it The Trump Organization, and expanded its operations from Queens and Brooklyn into Manhattan."", 'The company built or renovated skyscrapers, hotels, casinos, and golf courses.', 'Trump later started various side ventures, mostly by licensing his name.', 'He produced and hosted The Apprentice, a reality television series, from 2003 to 2015.', 'As of 2020, Forbes estimated his net worth to be $2.1 billion.Trump entered the 2016 presidential race as a Republican and defeated 16 other candidates in the primaries.', 'His political positions have been described as populist, protectionist, and nationalist.', 'Despite not being favored in most forecasts, he was elected over Democratic nominee Hillary Clinton, although he lost the popular vote.', 'He became the oldest first-term U.S. president, and the first without prior military or government service.', 'His election and policies have sparked numerous protests.', 'Trump has made many false or misleading statements during his campaign and presidency.', 'The statements have been documented by fact-checkers, and the media have widely described the phenomenon as unprecedented in American politics.', 'Many of his comments and actions have been characterized as racially charged or racist.', ""During his presidency, Trump ordered a travel ban on citizens from several Muslim-majority countries, citing security concerns; after legal challenges, the Supreme Court upheld the policy's third revision."", 'He enacted a tax-cut package for individuals and businesses, rescinding the individual health insurance mandate.', 'He appointed Neil Gorsuch and Brett Kavanaugh to the Supreme Court.', 'In foreign policy, Trump has pursued an America First agenda, withdrawing the U.S. from the Trans-Pacific Partnership trade negotiations, the anti-abortion movement, the Paris Agreement on climate change, and the Iran nuclear deal.', 'During increased tensions with Iran, he ordered the killing of Iranian general Qasem Soleimani.', ""He imposed import tariffs triggering a trade war with China, recognized Jerusalem as the capital of Israel, and withdrew U.S. troops in northern Syria to avoid Turkey's offensive on American-allied Kurds."", 'A special counsel investigation led by Robert Mueller found that Trump and his campaign welcomed and encouraged Russian foreign interference in the 2016 presidential election under the belief that it would be politically advantageous, but did not find sufficient evidence to press charges of criminal conspiracy or coordination with Russia.', 'Mueller also investigated Trump for obstruction of justice, and his report neither indicted nor exonerated Trump on that count.', 'A 2019 House of Representatives impeachment inquiry found that Trump solicited foreign interference in the 2020 U.S. presidential election from Ukraine to help his re-election bid and then obstructed the inquiry itself.', 'The House impeached Trump on December 18, 2019, for abuse of power and obstruction of Congress.', 'The Senate acquitted him of both charges on February 5, 2020.']"
21.04.2020,George Washington,https://en.wikipedia.org/wiki/George_Washington,"George Washington (February 22, 1732 – December 14, 1799) was an American political leader, military general, statesman, and Founding Father who served as the first president of the United States from 1789 to 1797.","['George Washington (February 22, 1732 – December 14, 1799) was an American political leader, military general, statesman, and Founding Father who served as the first president of the United States from 1789 to 1797.', ""Previously, he led Patriot forces to victory in the nation's War for Independence."", 'He presided at the Constitutional Convention of 1787, which established the U.S. Constitution\nand a federal government.', 'Washington has been called the ""Father of His Country"" for his manifold leadership in the formative days of the new nation.', 'Washington received his initial military training and command with the Virginia Regiment during the French and Indian War.', 'He was later elected to the Virginia House of Burgesses and was named a delegate to the Continental Congress, where he was appointed Commanding General of the Continental Army.', 'He commanded American forces, allied with France, in the defeat and surrender of the British during the Siege of Yorktown.', 'He resigned his commission after the Treaty of Paris in 1783.', 'Washington played a key role in adopting and ratifying the Constitution and was then elected president (twice) by the Electoral College.', 'He implemented a strong, well-financed national government while remaining impartial in a fierce rivalry between cabinet members Thomas Jefferson and Alexander Hamilton.', 'During the French Revolution, he proclaimed a policy of neutrality while sanctioning the Jay Treaty.', 'He set enduring precedents for the office of president, including the title ""President of the United States"", and his Farewell Address is widely regarded as a pre-eminent statement on republicanism.', 'Washington owned slaves, and in order to preserve national unity he supported measures passed by Congress to protect slavery.', 'He later became troubled with the institution of slavery and freed his slaves in a 1799 will.', 'He endeavored to assimilate Native Americans into Anglo-American culture but combated indigenous resistance during occasions of violent conflict.', 'He was a member of the Anglican Church and the Freemasons, and he urged broad religious freedom in his roles as general and president.', 'Upon his death, he was eulogized as ""first in war, first in peace, and first in the hearts of his countrymen"".', 'He has been memorialized by monuments, art, geographical locations, stamps, and currency, and many scholars and polls rank him among the greatest U.S. presidents.']"
21.04.2020,Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson,"Thomas Jefferson (April 13, 1743 – July 4, 1826) was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809.","['Thomas Jefferson (April 13, 1743 – July 4, 1826) was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809.', 'He previously served as the second vice president of the United States from 1797 to 1801.', 'The principal author of the Declaration of Independence, Jefferson was a proponent of democracy, republicanism, and individual rights, motivating American colonists to break from the Kingdom of Great Britain and form a new nation; he produced formative documents and decisions at both the state and national level.', 'During the American Revolution, he represented Virginia in the Continental Congress that adopted the Declaration, drafted the law for religious freedom as a Virginia legislator, and served as the second Governor of Virginia from 1779 to 1781, during the American Revolutionary War.', ""He became the United States Minister to France in May 1785, and subsequently, the nation's first secretary of state under President George Washington from 1790 to 1793."", 'Jefferson and James Madison organized the Democratic-Republican Party to oppose the Federalist Party during the formation of the First Party System.', ""With Madison, he anonymously wrote the provocative Kentucky and Virginia Resolutions in 1798 and 1799, which sought to strengthen states' rights by nullifying the federal Alien and Sedition Acts."", ""As president, Jefferson pursued the nation's shipping and trade interests against Barbary pirates and aggressive British trade policies."", ""He also organized the Louisiana Purchase, almost doubling the country's territory."", 'As a result of peace negotiations with France, his administration reduced military forces.', 'He was reelected in 1804.', ""Jefferson's second term was beset with difficulties at home, including the trial of former vice president Aaron Burr."", 'American foreign trade was diminished when Jefferson implemented the Embargo Act of 1807, in response to British threats to U.S. shipping.', 'In 1803, Jefferson began a controversial process of Indian tribe removal to the newly organized Louisiana Territory, and he signed the Act Prohibiting Importation of Slaves in 1807.', 'After retiring from public office, Jefferson founded the University of Virginia.', 'Jefferson, while primarily a planter, lawyer and politician, mastered many disciplines, which ranged from surveying and mathematics to horticulture and mechanics.', 'He was an architect in the classical tradition.', ""Jefferson's keen interest in religion and philosophy led to his presidency of the American Philosophical Society; he shunned organized religion but was influenced by both Christianity and deism."", 'A philologist, Jefferson knew several languages.', 'He was a prolific letter writer and corresponded with many prominent people.', 'His only full-length book is Notes on the State of Virginia (1785), considered perhaps the most important American book published before 1800.Although Jefferson is regarded as a leading spokesman for democracy and republicanism in the era of the Enlightenment, some modern scholarship has been critical of Jefferson, finding a contradiction between his ownership and trading of many slaves that worked his plantations, and his famous declaration that ""all men are created equal"".', 'Although the matter remains a subject of debate, most historians believe that Jefferson had a sexual relationship with his slave Sally Hemings, a mixed-race woman who was a half-sister to his late wife and that he fathered at least one of her children.', ""Presidential scholars and historians generally praise Jefferson's public achievements, including his advocacy of religious freedom and tolerance in Virginia."", 'Jefferson continues to rank highly among U.S. presidents.']"
21.04.2020,John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,"John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK and Jack, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in November 1963.","['John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK and Jack, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in November 1963.', 'Kennedy served at the height of the Cold War, and the majority of his work as president concerned relations with the Soviet Union and Cuba.', 'A Democrat, Kennedy represented Massachusetts in the U.S. House of Representatives and Senate prior to becoming president.', 'Kennedy was born into a wealthy political family in Brookline, Massachusetts.', 'He graduated from Harvard University in 1940, before joining the U.S.', 'Naval Reserve the following year.', 'During World War II, he commanded a series of PT boats in the Pacific theater and earned the Navy and Marine Corps Medal for his service.', ""After the war, Kennedy represented the Massachusetts's 11th congressional district in the U.S. House of Representatives from 1947 to 1953."", 'He was subsequently elected to the U.S. Senate and served as the junior Senator from Massachusetts from 1953 to 1960.', 'While in the Senate, Kennedy published his book, Profiles in Courage, which won a Pulitzer Prize.', 'In the 1960 presidential election, he narrowly defeated Republican opponent Richard Nixon, who was the incumbent vice president.', ""Kennedy's administration included high tensions with communist states in the Cold War."", 'As a result, he increased the number of American military advisers in South Vietnam.', 'In April 1961, he authorized an attempt to overthrow the Cuban government of Fidel Castro in the Bay of Pigs Invasion.', 'Kennedy authorized the Cuban Project in November 1961.', 'He rejected Operation Northwoods (plans for false flag attacks to gain approval for a war against Cuba) in March 1962.', 'However, his administration continued to plan for an invasion of Cuba in the summer of 1962.', 'The following October, U.S. spy planes discovered Soviet missile bases had been deployed in Cuba; the resulting period of tensions, termed the Cuban Missile Crisis, nearly resulted in the breakout of a global thermonuclear conflict.', 'The Strategic Hamlet Program began in Vietnam during his presidency.', 'Domestically, Kennedy presided over the establishment of the Peace Corps and the continuation of the Apollo space program.', 'He also supported the civil rights movement, but was only somewhat successful in passing his New Frontier domestic policies.', 'On November 22, 1963, he was assassinated in Dallas, Texas.', ""Vice President Lyndon B. Johnson assumed the presidency upon Kennedy's death."", 'Marxist and former U.S. Marine Lee Harvey Oswald was arrested for the state crime, but he was shot and killed by Jack Ruby two days later.', 'The FBI and the Warren Commission both concluded Oswald had acted alone in the assassination, but various groups contested the Warren Report and believed that Kennedy was the victim of a conspiracy.', ""After Kennedy's death, Congress enacted many of his proposals, including the Civil Rights Act and the Revenue Act of 1964."", 'Kennedy ranks highly in polls of U.S. presidents with historians and the general public.', 'His personal life has also been the focus of considerable sustained interest, following public revelations in the 1970s of his chronic health ailments and extramarital affairs.']"
21.04.2020,Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt,"Theodore  Roosevelt Jr. ( ROH-zə-velt; October 27, 1858 – January 6, 1919) was an American statesman, politician, conservationist, naturalist, and writer who served as the 26th president of the United States from 1901 to 1909.","['Theodore  Roosevelt Jr. ( ROH-zə-velt; October 27, 1858 – January 6, 1919) was an American statesman, politician, conservationist, naturalist, and writer who served as the 26th president of the United States from 1901 to 1909.', 'He served as the 25th vice president from March to September 1901 and as the 33rd governor of New York from 1899 to 1900.', 'Roosevelt emerged as a leader of the Republican Party and became a driving force for the anti-trust policy while supporting Progressive Era policies in the United States in the early 20th century.', 'His face is depicted on Mount Rushmore alongside George Washington, Thomas Jefferson, and Abraham Lincoln.', 'He is generally ranked in polls of historians and political scientists as one of the five best presidents.Roosevelt was a sickly child with debilitating asthma, but he overcame his health problems by embracing a strenuous lifestyle, as well as growing out of his asthma naturally in his young adult years.', 'He integrated his exuberant personality, a vast range of interests, and world-famous achievements into a ""cowboy"" persona defined by robust masculinity.', 'He was home-schooled, and he began a lifelong naturalist avocation before attending Harvard College.', 'His book The Naval War of 1812 (1882) established his reputation as a learned historian and as a popular writer.', ""Upon entering politics, he became the leader of the reform faction of Republicans in New York's state legislature."", 'His wife and his mother both died in rapid succession, and he escaped to a cattle ranch in the Dakotas.', 'He served as Assistant Secretary of the Navy under President William McKinley, but he resigned from that post to lead the Rough Riders during the Spanish–American War, returning a war hero.', 'He was elected governor of New York in 1898.', 'After Vice President Garret Hobart died in 1899, the New York state party leadership convinced McKinley to accept Roosevelt as his running mate in the 1900 election.', 'Roosevelt campaigned vigorously, and the McKinley–Roosevelt ticket won a landslide victory based on a platform of peace, prosperity, and conservation.', 'Roosevelt took office as vice president in March 1901 and assumed the presidency at age 42 after McKinley was assassinated the following September.', 'He remains the youngest person to become President of the United States.', 'Roosevelt was a leader of the progressive movement, and he championed his ""Square Deal"" domestic policies, promising the average citizen fairness, breaking of trusts, regulation of railroads, and pure food and drugs.', ""He made conservation a top priority and established many new national parks, forests, and monuments intended to preserve the nation's natural resources."", 'In foreign policy, he focused on Central America where he began construction of the Panama Canal.', ""He expanded the Navy and sent the Great White Fleet on a world tour to project the United States' naval power around the globe."", 'His successful efforts to broker the end of the Russo-Japanese War won him the 1906 Nobel Peace Prize.', 'He avoided controversial tariff and money issues.', 'Roosevelt was elected to a full term in 1904 and continued to promote progressive policies, many of which were passed in Congress.', 'He groomed his close friend William Howard Taft to successfully succeed him in the 1908 presidential election.', ""Roosevelt grew frustrated with Taft's brand of conservatism and belatedly tried to win the 1912 Republican nomination for president."", 'He failed, walked out, and founded the so-called ""Bull Moose"" Party which called for wide-ranging progressive reforms.', 'He ran in the 1912 election and the split allowed the Democratic nominee Woodrow Wilson to win the election.', 'Following the defeat, Roosevelt led a two-year expedition to the Amazon basin where he nearly died of tropical disease.', 'During World War I, he criticized Wilson for keeping the country out of the war with Germany, and his offer to lead volunteers to France was rejected.', 'He considered running for president again in 1920, but his health continued to deteriorate and he died in 1919.']"
21.04.2020,Andrew Jackson,https://en.wikipedia.org/wiki/Andrew_Jackson,"Andrew Jackson (March 15, 1767 – June 8, 1845) was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837.","['Andrew Jackson (March 15, 1767 – June 8, 1845) was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837.', 'Before being elected to the presidency, Jackson gained fame as a general in the United States Army and served in both houses of the U.S. Congress.', 'As president, Jackson sought to advance the rights of the ""common man"" against a ""corrupt aristocracy"" and to preserve the Union.', 'Born in the colonial Carolinas to a Scotch-Irish family in the decade before the American Revolutionary War, Jackson became a frontier lawyer and married Rachel Donelson Robards.', 'He served briefly in the United States House of Representatives and the United States Senate, representing Tennessee.', 'After resigning, he served as a justice on the Tennessee Supreme Court from 1798 until 1804.', 'Jackson purchased a property later known as The Hermitage, and became a wealthy, slave-owning planter.', 'In 1801, he was appointed colonel of the Tennessee militia and was elected its commander the following year.', 'He led troops during the Creek War of 1813–1814, winning the Battle of Horseshoe Bend.', 'The subsequent Treaty of Fort Jackson required the Creek surrender of vast lands in present-day Alabama and Georgia.', ""In the concurrent war against the British, Jackson's victory in 1815 at the Battle of New Orleans made him a national hero."", 'Jackson then led U.S. forces in the First Seminole War, which led to the annexation of Florida from Spain.', ""Jackson briefly served as Florida's first territorial governor before returning to the Senate."", 'He ran for president in 1824, winning a plurality of the popular and electoral vote.', 'As no candidate won an electoral majority, the House of Representatives elected John Quincy Adams in a contingent election.', 'In reaction to the alleged ""corrupt bargain"" between Adams and Henry Clay and the ambitious agenda of President Adams, Jackson\'s supporters founded the Democratic Party.', 'Jackson ran again in 1828, defeating Adams in a landslide.', 'Jackson faced the threat of secession by South Carolina over what opponents called the ""Tariff of Abominations.""', 'The crisis was defused when the tariff was amended, and Jackson threatened the use of military force if South Carolina attempted to secede.', 'In Congress, Henry Clay led the effort to reauthorize the Second Bank of the United States.', 'Jackson, regarding the Bank as a corrupt institution, vetoed the renewal of its charter.', 'After a lengthy struggle, Jackson and his allies thoroughly dismantled the Bank.', 'In 1835, Jackson became the only president to ultimately pay off the national debt, fulfilling a longtime goal.', 'His presidency marked the beginning of the ascendancy of the party ""spoils system"" in American politics.', 'In 1830, Jackson signed the Indian Removal Act, which forcibly relocated most members of the Native American tribes in the South to Indian Territory.', 'The relocation process dispossessed the Indians and resulted in widespread death and disease.', 'Jackson opposed the abolitionist movement, which grew more forceful in his second term.', 'In foreign affairs, Jackson\'s administration concluded a ""most favored nation"" treaty with Great Britain, settled claims of damages against France from the Napoleonic Wars, and recognized the Republic of Texas.', 'In January 1835, he survived the first assassination attempt on a sitting president.', 'In his retirement, Jackson remained active in Democratic Party politics, supporting the presidencies of Martin Van Buren and James K. Polk.', 'Though fearful of its effects on the slavery debate, Jackson advocated the annexation of Texas, which was accomplished shortly before his death.', 'Jackson has been widely revered in the United States as an advocate for democracy and the common man.', 'Many of his actions proved divisive, garnering both fervent support and strong opposition from many in the country.', 'His reputation has suffered since the 1970s, mainly due to his role in Native American removal.', 'Surveys of historians and scholars have ranked Jackson favorably among U.S. presidents.']"
21.04.2020,James Madison,https://en.wikipedia.org/wiki/James_Madison,"James Madison Jr. (March 16, 1751 – June 28, 1836) was an American statesman,  diplomat, philosopher and Founding Father who served as the fourth president of the United States from 1809 to 1817.","['James Madison Jr. (March 16, 1751 – June 28, 1836) was an American statesman,  diplomat, philosopher and Founding Father who served as the fourth president of the United States from 1809 to 1817.', 'He is hailed as the ""Father of the Constitution"" for his pivotal role in drafting and promoting the Constitution of the United States and the United States Bill of Rights.', 'He co-wrote The Federalist Papers, co-founded the Democratic-Republican Party, and served as the fifth United States secretary of State from 1801 to 1809.', 'Born into a prominent Virginia planter family, Madison served as a member of the Virginia House of Delegates and the Continental Congress during and after the American Revolutionary War.', 'He became dissatisfied with the weak national government established by the Articles of Confederation and helped organize the Constitutional Convention, which produced a new constitution to supplant the Articles of Confederation.', ""Madison's Virginia Plan served as the basis for the Constitutional Convention's deliberations, and he was one of the most influential individuals at the convention."", 'Madison became one of the leaders in the movement to ratify the Constitution, and he joined with Alexander Hamilton and John Jay in writing The Federalist Papers, a series of pro-ratification essays that was one of the most influential works of political science in American history.', 'After the ratification of the Constitution, Madison emerged as an important leader in the United States House of Representatives and served as a close adviser to President George Washington.', 'He was the main force behind the ratification of the United States Bill of Rights, which enshrines guarantees of personal freedoms and rights within the Constitution.', 'During the early 1790s, Madison came to oppose the economic program and accompanying centralization of power favored by Secretary of the Treasury Alexander Hamilton.', ""Along with Thomas Jefferson, Madison organized the Democratic-Republican Party, which was, alongside Hamilton's Federalist Party, one of the nation's first major political parties."", 'After Jefferson won the 1800 presidential election, Madison served as Secretary of State from 1801 to 1809.', 'In that position, he supervised the Louisiana Purchase, which doubled the size of the United States.', 'Madison succeeded Jefferson with a victory in the 1808 presidential election.', 'After diplomatic protests and a trade embargo failed to end British attacks against American shipping, he led the United States into the War of 1812.', 'The war was an administrative morass and ended inconclusively, but many Americans saw it as a successful ""second war of independence"" against Britain.', 'The war convinced Madison of the necessity of a stronger federal government, and he presided over the creation of the Second Bank of the United States and the enactment of the protective Tariff of 1816.', 'He retired from public office in 1817 and died in 1836.', 'Madison was never able to privately reconcile his Republican beliefs and his slave ownership.', 'Madison is considered to be one of the most important Founding Fathers of the United States, and historians have generally ranked him as an above-average president.']"
21.04.2020,Clay Aiken,https://en.wikipedia.org/wiki/Clay_Aiken,"Clayton Holmes ""Clay"" Aiken (born Clayton Holmes Grissom; November 30, 1978) is an American singer, television personality, actor, political candidate, and activist.","['Clayton Holmes ""Clay"" Aiken (born Clayton Holmes Grissom; November 30, 1978) is an American singer, television personality, actor, political candidate, and activist.', 'Aiken finished second place on the second season of American Idol in 2003, and his debut album, Measure of a Man, went multi-platinum.', 'He released four more albums on the RCA label, Merry Christmas with Love (2004), A Thousand Different Ways (2006), the Christmas EP All is Well (2006), and On My Way Here (2008).', 'Since then he has released two more albums, both with Decca Records: Tried and True (2010) and Steadfast (2012).', 'Aiken has also had eleven tours in support of his albums.', 'In all, he has sold over 5 million albums, and is the fourth-highest-selling American Idol alumnus.Aiken co-wrote a bestselling memoir in 2004, Learning to Sing.', 'In 2004 he also had a televised Christmas special, A Clay Aiken Christmas.', 'During much of 2008 he appeared on Broadway in the musical comedy Spamalot, in the role of Sir Robin.', 'In 2010 he hosted the PBS special Tried & True Live!.', 'He has also had numerous cameo and guest appearances on TV shows.', 'In 2012 he competed in the fifth season of The Celebrity Apprentice, coming in second to Arsenio Hall.', 'With Diane Bubel, Aiken created the Bubel/Aiken Foundation in 2003, which was later renamed the National Inclusion Project.', 'In 2004 he became a UNICEF ambassador, a position he held until 2013 when he gave it up in order to run for Congress.', 'He traveled extensively in this role.', ""In 2006, he was appointed for a two-year term to the Presidential Committee for People with Intellectual Disabilities.In 2014, Aiken ran for the United States House of Representatives in North Carolina's 2nd congressional district."", 'He won the Democratic primary, but lost to Republican incumbent Renee Ellmers in the general election.']"
